"MINISTRY";"DEPARTMENT";"CONFIRMED";"COUNTRY_CODE"
"Department of Agriculture";"Center for Nutrition Policy and Promotion";1;"US"
"Department of Agriculture";"Food and Nutrition Service";1;"US"
"Department of Agriculture";"National Institute of Food and Agriculture";1;"US"
"Department of Agriculture";"Agricultural Research Service";1;"US"
"Department of Agriculture";"Economic Research Service";1;"US"
"Department of Agriculture";"Farm Service Agency";1;"US"
"Department of Agriculture";"Food Safety and Inspection Service";1;"US"
"Department of Agriculture";"Foreign Agricultural Service";1;"US"
"Department of Agriculture";"Forest Service";1;"US"
"Department of Agriculture";"Marketing and Regulatory Programs";1;"US"
"Department of Agriculture";"National Agricultural Statistics Service";1;"US"
"Department of Agriculture";"Natural Resources Conservation Service";1;"US"
"Department of Agriculture";"Risk Management Agency";1;"US"
"Department of Agriculture";"Rural Development";1;"US"
"Department of Commerce";"Bureau of Economic Analysis";1;"US"
"Department of Commerce";"Bureau of Industry and Security";1;"US"
"Department of Commerce";"Committee for the Implementation of Textile Agreements";1;"US"
"Department of Commerce";"Economics and Statistics Administration";1;"US"
"Department of Commerce";"Economic Development Administration";1;"US"
"Department of Commerce";"International Trade Administration";1;"US"
"Department of Commerce";"Minority Business Development Agency";1;"US"
"Department of Commerce";"National Institute of Standards and Technology";1;"US"
"Department of Commerce";"National Oceanic and Atmospheric Administration";1;"US"
"Department of Commerce";"National Technical Information Service";1;"US"
"Department of Commerce";"National Telecommunications and Information Administration";1;"US"
"Department of Commerce";"Census Bureau";1;"US"
"Department of Commerce";"Patent and Trademark Office";1;"US"
"Department of Defense";"Air Force";1;"US"
"Department of Defense";"Army";1;"US"
"Department of Defense";"Fleet Forces Command";1;"US"
"Department of Defense";"Defense Acquisition University";1;"US"
"Department of Defense";"Defense Advanced Research Projects Agency";1;"US"
"Department of Defense";"Defense Commissary Agency";1;"US"
"Department of Defense";"Defense Contract Audit Agency";1;"US"
"Department of Defense";"Defense Contract Management Agency";1;"US"
"Department of Defense";"Defense Information Systems Agency";1;"US"
"Department of Defense";"Defense Intelligence Agency";1;"US"
"Department of Defense";"Defense Security Cooperation Agency";1;"US"
"Department of Defense";"Defense Security Service";1;"US"
"Department of Defense";"Defense Technical Information Center";1;"US"
"Department of Defense";"Defense Threat Reduction Agency";1;"US"
"Department of Defense";"Economic Adjustment Office";1;"US"
"Department of Defense";"Joint Chiefs of Staff";1;"US"
"Department of Defense";"Missile Defense Agency";1;"US"
"Department of Defense";"National Defense University";1;"US"
"Department of Defense";"National Geospatial-Intelligence Agency";1;"US"
"Department of Defense";"National Security Agency";1;"US"
"Department of Defense";"Navy";1;"US"
"Department of Defense";"Pentagon Force Protection Agency";1;"US"
"Department of Defense";"Defense Health Agency";1;"US"
"Department of Defense";"Unified Combatant Commands";1;"US"
"Department of Defense";"Uniformed Services University of the Health Sciences";1;"US"
"Department of Defense";"Washington Headquarters Services";1;"US"
"Department of Defense";"Defense Finance and Accounting Service";1;"US"
"Department of Defense";"Defense Logistics Agency";1;"US"
"Department of Defense";"Federal Voting Assistance Program";1;"US"
"Department of Defense";"National Reconnaissance Office";1;"US"
"Department of Defense";"Prisoner of War and Missing in Action Accounting Agency";1;"US"
"Department of Education";"Office for Civil Rights-Department of Education";1;"US"
"Department of Education";"Office of Postsecondary Education";1;"US"
"Department of Education";"Office of Special Education and Rehabilitative Services";1;"US"
"Department of Education";"Office of Career-Technical and Adult Education";1;"US"
"Department of Education";"The Education Publications Center (EDPUBS)";1;"US"
"Department of Education";"English Language Acquisition Office";1;"US"
