ID,TEMPLATE,MESSAGE_TITLE,TEXT
2,USER_REGISTER,successfullyReg,"You have successfully registered yourself on GDFNow.org"
3,USER_REGISTER,setPassword,"Kindly set you Account Password by following the link below"
4,USER_REGISTER,createAccess,"Create Access"
5,USER_REGISTER,subject,"User Registration"
6,ACCESS_CONFIRM,accessConfirmed,"Access Confirmed"
7,ACCESS_CONFIRM,thankYou,"Congratulations on setting your access details. Your registration is now complete!! "
8,ACCESS_CONFIRM,welcome,"Welcome to GdfNow.org"
9,ACCESS_CONFIRM,home,Home
10,ACCESS_CONFIRM,subject,"Access Confirm"
11,DEEDER_REGISTER,subject,"Deeder Registration"
12,DEEDER_REGISTER,registrationDeeder,"Registration Deeder"
13,DEEDER_REGISTER,successfullyReg,"You have successfully registered yourself on GDFNow.org"
14,DEEDER_REGISTER,setPassword,"Kindly set you Account Password by following the link below"
15,DEEDER_REGISTER,createAccess,"Create Access"
16,USER_DEEDER_REGISTER,dearUserDeeder,"Dear %1$s ,"
17,USER_DEEDER_REGISTER,nominatedMsg,"You have been Nominated by our User %1$s"
18,USER_DEEDER_REGISTER,checkProfile,"You may wish to check your profile here (You DOB might need correction) :"
19,USER_DEEDER_REGISTER,profileOKMsg,"If the profile looks OK to you (or you wish to make changes), please set your access password on the following link:"
20,USER_DEEDER_REGISTER,createAccess,"Create Access"
21,NOMINATION_CONFIRM,subject,"Nomination Confirm of %1$s  %2$s"
22,NOMINATION_CONFIRM,ThanksMsg,"Thank you for making a valuable contribution to make a 'real' change in the world."
23,NOMINATION_CONFIRM,informOnDeederConfirm,"Once the Deeder accepts the nomination, we will inform you."
24,NOMINATION_CONFIRM,suggestDeedOfDeeder,"In the mean time, if you wish you may suggest the Deeds that Deeder has been carrying out by visiting your account."
25,NOMINATION_CONFIRM,gdfNowHome,"GdfNow Home"
26,BUSINESS_REGISTER,subject,"Registration Business"
27,BUSINESS_REGISTER,dearBusiness,"Dear %1$s,"
28,BUSINESS_REGISTER,successfullyReg,"Your Business, %1$s, has been successfully registered on GDFNow.org"
29,BUSINESS_REGISTER,setPasswordLinkMsg,"Kindly set you Account Password by following the link below"
30,BUSINESS_REGISTER,createAccess,"Create Access"
31,BUSINESS_AMEND,subject,"Change Business Details"
32,BUSINESS_AMEND,changesApplied,"Thank You. The changes have now been applied on account %1$s"
33,GOVERNMENT_REGISTER,subject,"Registration Government Agency/Department"
34,GOVERNMENT_REGISTER,dearGovernment,"Dear %1$s ,"
35,GOVERNMENT_REGISTER,successfullyReg,"Your Agency/Department %1$s, has been successfully registered on GDFNow.org"
36,GOVERNMENT_REGISTER,setPassword,"Kindly set you Account Password by following the link below"
37,GOVERNMENT_REGISTER,createAccess,"Create Access"
38,GOVERNMENT_AMEND,subject,"Change Government Agency/Department Details"
39,GOVERNMENT_AMEND,changesApplied,"Thank You. The changes have now been applied on account %1$s"
40,NGO_REGISTER,subject,"Registration NGO"
41,NGO_REGISTER,dearNgo,"Dear %1$s,"
42,NGO_REGISTER,successfullyReg,"Your NGO/Charity %1$s, has been successfully registered on GDFNow.org"
43,NGO_REGISTER,setPasswordLinkMsg,"Kindly set you Account Password by following the link below"
44,NGO_REGISTER,createAccess,"Create Access"
45,NGO_AMEND,subject,"Change NGO/Charity Details"
46,NGO_AMEND,changesApplied,"Thank You. The changes have now been applied on account %1$s"
47,BUSINESS_OFFER,subject,"Offer from Business"
48,BUSINESS_OFFER,dearBusiness,"Dear %1$s,"
49,BUSINESS_OFFER,thanksMsg,"Thank you for making an offer. It is Live now on GDFNow.org"
50,BUSINESS_OFFER,visitOfferLinkMsg,"In order to view the Offer details, please visit the following link:"
51,GOVERNMENT_OFFER,subject,"Offer from Government Agency/Department"
52,GOVERNMENT_OFFER,dearGovernment,"Dear %1$s,"
53,GOVERNMENT_OFFER,thanksMsg,"Thank you for making an offer. It is Live now on GDFNow.org"
54,GOVERNMENT_OFFER,visitOfferLinkMsg,"In order to view the Offer details, please visit the following link:"
